,date,product_id,price,client_id
0,2024-10-31,1,9422,10
1,2024-10-12,8,1673,18
2,2023-03-06,3,9432,12
3,2024-05-28,6,1414,10
4,2023-05-30,2,5828,15
5,2024-11-30,9,4166,15
6,2023-11-02,5,8156,14
7,2023-10-15,1,8431,8
8,2024-05-28,5,7369,13
9,2024-03-10,5,3851,13
10,2023-05-12,4,4886,3
11,2023-08-22,8,8272,20
12,2023-08-15,2,6567,17
13,2024-10-12,3,9883,6
14,2023-03-23,1,1073,0
15,2024-02-17,6,2027,5
16,2023-03-08,8,3633,0
17,2023-05-30,3,7924,0
18,2023-09-14,7,5029,4
19,2024-04-03,8,3980,18
20,2023-07-08,4,563,1
21,2023-09-14,5,321,3
22,2023-07-16,9,3760,5
23,2023-12-17,5,3626,18
24,2024-03-14,10,5747,3
25,2023-10-08,1,8894,12
26,2023-09-02,1,2562,17
27,2023-12-15,10,4335,13
28,2024-02-06,1,337,3
29,2023-05-01,10,3177,18
30,2023-01-27,10,3256,9
31,2023-12-02,3,7860,1
32,2023-11-20,2,8278,8
33,2023-07-08,6,747,17
34,2024-02-28,3,6104,7
35,2024-06-01,7,7374,8
36,2024-07-24,9,3993,19
37,2023-02-02,0,9068,12
38,2023-08-17,8,4465,2
39,2024-03-22,4,5367,14
40,2023-06-29,1,8689,2
41,2023-10-13,8,3243,8
42,2023-03-18,9,8398,16
43,2024-04-01,10,9818,8
44,2024-05-17,1,336,14
45,2024-04-04,2,6952,10
46,2023-11-07,0,5769,5
47,2023-03-02,10,7959,14
48,2024-06-20,8,3904,8
49,2024-08-16,8,8198,8
50,2023-03-20,1,2294,14
51,2024-05-11,8,3356,7
52,2023-04-19,7,4426,12
53,2023-10-10,10,2374,8
54,2023-09-23,2,825,11
55,2024-06-14,3,2432,4
56,2023-11-19,6,1048,14
57,2024-09-04,1,8982,10
58,2023-07-29,7,9906,11
59,2023-05-10,1,6774,5
60,2024-05-09,8,4985,8
61,2023-03-09,1,5277,0
62,2024-11-09,9,1073,17
63,2024-08-07,8,6488,8
64,2023-03-01,8,4465,1
65,2023-07-17,1,9814,1
66,2024-11-13,8,2855,7
67,2024-07-09,1,5570,16
68,2024-06-30,3,7254,14
69,2023-10-10,10,6778,3
70,2024-05-28,2,3413,10
71,2023-04-15,0,4443,4
72,2023-07-29,8,568,19
73,2024-05-06,7,7877,9
74,2023-06-06,9,3668,15
75,2023-10-09,6,9935,6
76,2024-05-23,9,2199,1
77,2023-09-29,8,8186,1
78,2023-02-27,8,9537,9
79,2024-02-21,6,5107,0
80,2023-02-15,2,9091,0
81,2023-11-11,7,9762,6
82,2023-09-17,0,8259,16
83,2024-08-23,6,3665,5
84,2024-04-13,9,1400,13
85,2024-05-02,10,9387,19
86,2023-06-25,5,2763,2
87,2023-10-30,8,1207,19
88,2024-08-08,6,7022,11
89,2024-06-06,1,2471,15
90,2023-08-20,0,3424,16
91,2024-04-05,2,1992,13
92,2024-10-16,4,6417,2
93,2024-03-20,7,5778,2
94,2024-04-09,10,7954,12
95,2023-12-30,10,6858,5
96,2024-01-15,7,1314,18
97,2024-10-11,4,9206,6
98,2024-07-16,6,5559,9
99,2024-11-09,0,5897,3
100,2023-12-05,4,9043,17
101,2023-02-09,10,9982,6
102,2024-02-08,10,4162,18
103,2023-05-13,6,1469,14
104,2024-07-08,4,5270,11
105,2024-02-21,6,6686,16
106,2023-10-25,2,8640,10
107,2023-04-28,4,418,11
108,2023-02-19,2,2803,0
109,2023-11-10,3,7200,2
110,2023-01-23,2,2993,13
111,2024-06-13,1,4609,17
112,2024-04-09,5,2635,9
113,2023-06-07,6,929,12
114,2024-05-24,8,6108,15
115,2023-07-29,1,3319,20
116,2024-06-20,9,3118,19
117,2023-06-23,2,8165,3
118,2024-09-10,0,6639,11
119,2023-11-12,9,7082,15
120,2024-09-01,1,1313,8
121,2023-07-14,1,9926,13
122,2023-01-19,5,4671,17
123,2024-09-15,10,8078,5
124,2024-10-03,0,1998,20
125,2024-03-10,5,6880,19
126,2024-04-16,10,9595,3
127,2024-04-28,1,818,14
128,2024-03-08,2,5856,4
129,2023-02-27,4,5202,18
130,2024-06-14,6,8130,17
131,2024-11-02,10,3805,13
132,2024-06-07,9,6945,8
133,2024-01-15,2,5362,0
134,2023-01-13,3,7815,5
135,2024-04-28,7,6118,12
136,2023-09-13,7,297,12
137,2023-02-15,9,8728,13
138,2023-08-19,9,7492,17
139,2024-10-13,6,31,13
140,2023-11-01,2,971,14
141,2024-03-06,5,7983,11
142,2023-10-01,8,5391,3
143,2023-09-02,0,7574,3
144,2023-09-30,8,9830,4
145,2023-01-18,0,3206,3
146,2023-07-27,2,4667,12
147,2024-07-03,3,9493,17
148,2023-08-03,7,9562,20
149,2024-09-08,1,5028,18
150,2023-09-28,7,1199,5
151,2024-04-11,3,4454,6
152,2024-01-24,9,5541,1
153,2024-08-28,6,7258,18
154,2024-10-04,10,7000,3
155,2023-09-13,2,5182,5
156,2023-04-10,9,9230,7
157,2024-11-07,3,5222,13
158,2024-01-27,8,4827,0
159,2023-02-14,1,232,0
160,2024-06-15,4,5938,4
161,2023-10-08,2,3658,10
162,2023-09-28,3,3772,6
163,2023-03-29,10,8410,1
164,2024-03-21,2,8074,8
165,2023-09-04,4,4916,5
166,2023-11-26,6,2028,10
167,2024-02-25,7,4078,18
168,2023-02-01,6,4066,2
169,2023-09-19,5,4800,4
170,2023-03-02,9,7766,17
171,2023-05-19,2,3719,13
172,2023-12-13,10,8044,20
173,2023-05-19,9,6746,4
174,2023-07-04,8,7459,14
175,2023-12-30,7,2059,19
176,2024-09-21,6,6326,6
177,2023-11-21,0,890,7
178,2023-10-31,10,6205,0
179,2023-05-11,5,8210,7
180,2024-08-17,0,6112,8
181,2024-10-15,9,5596,16
182,2024-09-18,7,8245,11
183,2024-07-15,6,4432,8
184,2023-05-22,2,4008,16
185,2024-05-07,6,1446,14
186,2024-04-06,5,4249,7
187,2024-07-17,0,1938,4
188,2024-02-02,3,3723,13
189,2023-02-12,1,8497,3
190,2024-07-19,8,3371,14
191,2023-02-23,9,7563,18
192,2024-05-15,1,4596,16
193,2023-08-30,6,8296,6
194,2024-03-11,2,516,8
195,2024-04-15,9,9800,7
196,2023-07-16,0,798,8
197,2024-08-04,6,4383,14
198,2024-04-05,5,1232,12
199,2023-09-11,7,6546,8
200,2024-04-16,2,5020,1
201,2023-03-09,2,193,16
202,2023-02-01,8,2041,1
203,2024-03-05,7,1931,2
204,2024-01-20,10,3345,5
205,2023-01-31,5,6288,1
206,2024-07-07,1,6005,12
207,2023-03-22,2,2626,5
208,2024-05-05,4,9953,4
209,2023-02-18,2,1694,4
210,2023-04-28,9,4859,12
211,2023-09-16,2,7083,12
212,2023-04-16,0,1113,0
213,2023-06-20,2,5938,8
214,2023-08-31,5,8260,17
215,2024-07-15,7,7598,9
216,2023-04-22,6,6490,2
217,2023-05-06,6,2502,9
218,2024-11-29,4,1389,14
219,2024-08-28,9,4592,15
220,2024-01-05,2,3984,3
221,2023-12-24,8,1039,18
222,2024-07-21,7,3665,8
223,2023-08-25,1,9179,5
224,2024-07-25,8,4628,17
225,2024-08-15,6,5328,16
226,2023-05-09,2,7792,5
227,2023-08-31,9,1101,16
228,2024-10-01,2,6647,9
229,2024-07-08,9,8762,19
230,2023-10-09,5,6082,17
231,2023-12-13,3,5464,7
232,2023-12-10,7,7858,3
233,2023-09-09,5,1834,4
234,2024-10-18,5,94,18
235,2024-05-24,8,965,15
236,2023-06-29,2,3455,16
237,2023-03-12,3,885,15
238,2024-09-27,0,9897,11
239,2024-11-29,9,664,15
240,2023-03-24,4,937,16
241,2023-02-17,7,8331,16
242,2023-04-22,2,8868,13
243,2024-08-01,6,6624,9
244,2023-12-27,8,7290,16
245,2024-02-24,2,2453,18
246,2023-10-08,7,6837,1
247,2024-03-07,2,3602,5
248,2024-07-25,8,4112,0
249,2023-12-29,3,9551,15
250,2023-06-28,9,6701,7
251,2024-04-17,7,2814,19
252,2024-01-08,1,565,14
253,2023-04-01,0,4596,3
254,2024-01-29,0,4011,17
255,2024-11-28,1,6531,4
256,2024-04-04,9,5751,12
257,2024-04-07,9,5834,19
258,2024-08-19,10,9083,10
259,2024-11-30,9,3266,9
260,2023-04-01,8,9556,20
261,2024-09-28,8,9832,12
262,2023-09-29,0,7239,0
263,2024-07-02,2,2160,13
264,2024-04-24,9,569,2
265,2024-03-31,3,4344,19
266,2023-04-30,5,2122,6
267,2024-03-31,6,1819,2
268,2023-04-09,5,9039,7
269,2023-04-20,10,8075,6
270,2023-01-14,10,4110,11
271,2024-08-09,8,7793,5
272,2024-03-31,0,2784,13
273,2023-07-22,6,960,1
274,2023-12-13,5,5323,8
275,2024-06-13,10,3179,18
276,2023-04-12,7,8533,9
277,2023-12-04,1,5717,3
278,2024-05-31,10,9759,14
279,2023-04-22,9,7187,6
280,2023-06-12,2,4099,2
281,2024-01-12,0,9248,6
282,2024-09-25,9,3194,18
283,2024-11-21,7,266,17
284,2024-06-12,9,797,5
285,2023-09-04,6,9574,1
286,2024-11-10,10,1349,1
287,2023-09-22,8,4362,12
288,2024-11-06,2,1085,20
289,2024-02-28,5,9348,15
290,2023-05-13,2,609,19
291,2023-03-25,3,5556,8
292,2024-01-21,2,9168,15
293,2023-05-15,0,9358,17
294,2023-03-18,0,3449,12
295,2024-05-12,5,1850,3
296,2023-11-08,2,1542,18
297,2024-05-27,9,6694,5
298,2024-08-22,5,8972,16
299,2024-04-29,3,9651,20
